title,dateposted,validthrough,industry,orgname,cat,descr,stars,jobid,minsal,maxsal,medsal,empid,jobtitleid,jobreqid,url
Junior Data Scientist,2018-05-30,2018-07-10,Information Technology,Newsela,"['15-1111.00', 'Computer and Information Research Scientists']","Newsela is an Instructional Content Platform that brings together engaging, accessible content with integrated assessments and insights to supercharge reading engagement and learning in every subject. We are dedicated to our mission to unlock the written word for everyone. More than three years since our launch, Newsela is already in 75% of schools, across all 50 U.S. states, in addition to being in over 180 countries. The result has been more engaged readers and engaged readers are better learners. As Newselas usage in classrooms all over the world has grown, so has our focus on using data-driven analysis and results across every area of our business in order to make us more efficient and effective in helping students learn to read. Were looking to drive unprecedented gains in student literacy and are hiring a junior data scientist to get us there. Responsibilities Assist the Sales Team in identifying the next big opportunities Helping the Content Team deliver the most appropriate material to our students and teachers Creating dashboards for the Community Team.   Supporting the senior members of the Data Team in their effort to provide expert analysis to the company.   Writing SQL queries to extract data, cleaning and analyzing data in Python or R, and preparing presentations. The Ideal Candidate Bachelor's degree in a quantitative field, including but not limited to mathematics, engineering, computer science, or economics. 2+ years in a highly analytical role, including but not limited to business analyst, data analyst, or data scientist. 1+ years of professional experience using SQL. 1+ years of professional experience using a scripting language, including but not limited to Python or R. Demonstrated experience retrieving data, cleaning and preparing data for analysis, performing data analysis, and presenting and defending analysis. Demonstrated experience using and tuning machine learning algorithms. Demonstrated experience visualizing analysis (plus for working with high-dimensional data). Demonstrated experience explaining technical material to non-technical audiences. Some Pluses Masters degree in quantitative field. Strong statistical and mathematical background. Experience developing machine learning algorithms. Experience with any business intelligence tool. (e.g. Looker, Chartio, Tableau, etc.) Presenting or visualizing insights involving high dimensional. Extremely detailed oriented. Newsela is strongly committed to the principle of equal opportunity for all individuals. Newsela will make all employment decisions without unlawful discrimination on the basis of race, color, religion, sex, sexual orientation, national origin, age, disability, veteran status, or any other status protected by law. ",3.7,2722942966,104000,155000,127000,1038864,406074,3285775058,http://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=288017&s=58&guid=00000163ec4a0637a62e08db1a427a5e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f0383121&cb=1528677665081&jobListingId=2722942966
Data Engineer,2018-06-08,2018-07-10,Finance,Venmo,"['15-1132.00', 'Software Developers, Applications']"," About Us Venmo was founded on the principles of breaking down the intimidating barriers around financial transactions to make them intuitive, friendly, and even fun. And it worked: people love sending money with Venmo, and were growing by leaps and bounds! But were only just getting started. We want to take that magic of sending money with Venmo and cascade it into every place where people use money. That means connecting people to their money in the most intuitive and fun way possible, then connecting people with each other. Users already love Venmo, but we know there are lots of things we havent thought of to make the experience of using Venmo even more delightful and valuable. All thats going to take a lot of figuring out. Lets figure it out together! Engineering at Venmo At Venmo, we are creating a product that people love. We strive to create a delightful user experience while connecting the world and empowering people through payments. We are looking for intellectually curious people who want to be inspired and inspire others to change the world. Engineering is a craft, and at Venmo we want the internals of our software to be as elegant as the end user experience we are designing. We spend our days scaling our infrastructure and building new features to meet and exceed our users needs and wants. We teach and learn from one another, and push each other to be at our creative and analytical bests. Job Description As a Staff Software Engineer in Data Engineering, you will empower teams to leverage their data with confidence. You are excited by the prospect of optimizing or even re-designing our companys data architecture to support our next generation of products and data initiatives. Specific responsibilities include:  Create and maintain a scalable and reliable data pipeline architecture.  Build tools that help users leverage our data into actionable insights to improve our customers experiences, operational efficiency and business performance.  Continuously improving data operations: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.  Work with stakeholders including the Executive, Product, Engineering and Analytics teams to assist with data-related technical issues and support their data infrastructure needs.  Create large, complex data sets that meet functional / non-functional business requirements. What we are looking for: Bachelors and/or Masters in computer science OR related field of study 8+ years experience in software development or a related field Expertise with data warehouse architectures and systems such as Hive and Presto. Expertise with distributed processing compute engines such as: Hadoop, Spark. Expertise with stream-processing frameworks: Kafka, Storm, Flink, Spark-Streaming. Experience building and optimizing data pipelines, architectures and data sets. Proficiency at manipulating, processing and extracting value from large disconnected datasets. A working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.   Expertise with relational SQL and NoSQL databases. Experience with data processing DSLs such as Beam, Summingbird, Crunch. Expertise with data pipeline and workflow management tools: Azkaban, Luigi, Airflow, etc. Experience with AWS cloud services: EC2, EMR, RDS, Redshift Experience with: Python, Java, C++, Scala, etc. with at least 2+ years of Java/Scala experience. Experience working with open-source. Strong communication skills with the ability to understand and explain technical issues to a non-technical audience. We know the confidence gap and imposter syndrome can get in the way of meeting spectacular candidates. Please don't hesitate to apply.",3.1,2770578422,117000,135000,123000,447866,46157,3238819052,http://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=355362&s=58&guid=00000163ec4a0637a62e08db1a427a5e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_58811fbb&cb=1528677665082&jobListingId=2770578422
Associate Data Scientist,2018-06-05,2018-07-10,Business Services,360i,"['15-1111.00', 'Computer and Information Research Scientists']","Overview Team Write-Up: The primary focus of 360i’s Data Science team is to devise elegant yet simple, actionable solutions to drive our clients' business goals. Our clients see us as trusted advisors and depend on our subject matter expertise to enhance decision making via our deep (and constantly evolving) marketing analytics capabilities. For this role, we are looking for someone who is deeply interested in the application of advanced statistic and econometric methodologies in both theory and practice. Candidates should be simultaneously intellectually curious and pragmatic self-starters who see projects through to completion. Responsibilities   Operate 'in-the-weeds' on client analytics engagements, executing the below under direction of Manager/Associate Director:   Cleanse, compile and process client data Execute appropriate statistical/econometric frameworks Develop custom analytical tools for ongoing media insights & optimization   Participate in stakeholder interview process and internal brainstorm sessions for each client project, framing prospective analytics solutions through appropriate lens Actively participate in and contribute to team-wide learning and development agenda Assist with research into/discovery of new analytics methodologies, outline roadmap for tool development, and execute tool build Interface directly with internal stakeholders and clients to guide interpretation of analytics outputs and how to implement results Qualifications   Bachelors Degree in a quantitative field or proof of relevant bootcamp completion Strong foundation in either Python or R, with working knowledge of the following libraries/modules:   Python: pandas, NumPy, StatsModels, SciKit-learn, Matplotlib R: pylr, data.table, lme4, shiny   Functional working proficiency with Git (GitHub & BitBucket/SourceTree) Fundamental knowledge of relational databases and the cloud Exposure to and understanding of several key econometric and statistical frameworks:   Linear Regression, Logistic Regression, ARIMA, Kalman Filter, BSTS, Decision Trees, Random Forest, Factor Analysis, KNN, K-Means, etc.   Possess the ability to receive direction, take ownership, and operate independently to solve to client requests using a combination of critical thinking and initiative The demonstrated ability to translate complex processes into client-friendly terms Experience with marketing response models and their applications a plus 1+ year working experience in analytics or other consultancy a plus ",3.5,2765192486,74000,116000,95000,28489,576629,3233322850,http://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=296172&s=58&guid=00000163ec4a0637a62e08db1a427a5e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8bac81f4&cb=1528677665083&jobListingId=2765192486
"Data Scientist, Growth Insights",2018-05-31,2018-07-10,Information Technology,Spotify,"['15-1111.00', 'Computer and Information Research Scientists']","We are looking for a Data Scientist to join the band and help drive a data-first culture with focus on growth. As a Data Scientist, our mission is to turn our 200 petabytes of data into insights and gain a deep understanding of music and listeners to impact the strategy and direction of Spotify. You will study user behavior, strategic initiatives, markets, content, and new features and bring data and insights into every decision we make. Above all, your work will impact how we think about user growth and how we can make Spotify available and accessible for more people in the world. What you’ll do: Perform analyses on large sets of data to extract actionable insights that will help drive decisions across the user funnel – such as acquisition, activation and retention Work on larger user understanding projects to understand and recommend our next direction to drive user growth Work on end-to-end projects to ensure your findings are executed and tested in a desired way Work closely with cross-functional teams of analysts, researchers, product owners, marketers, designers, and others across the company who are passionate about Spotify’s user growth Work from our offices in New York Who you are: You have a deep understanding of numbers and a strong business sense for growth drivers You have at least 3+ years of experience in a similar data scientist role and a degree in science, computer science, statistics, economics, mathematics, or similar quantitative discipline You have the technical competence to perform more advanced analytics Coding skills (such as Python) Analytics tools experience (such as Pandas, R or SQL) Experience performing analysis with large datasets You have experience collaborating closely with research to design novel analytical approaches in response to loosely defined problems You have experience driving real world product or feature decisions based on your analysis You are a communicative person that values building strong relationships with colleagues and stakeholders and have the ability to explain complex topics in simple terms You’re capable of mentoring more junior data scientist to set them up for success We are proud to foster a workplace free from discrimination. We strongly believe that diversity of experience, perspectives, and background will lead to a better environment for our employees and a better product for our users and our creators. This is something we value deeply and we encourage everyone to come be a part of changing the way the world listens to music.",4.0,2685531897,131000,189000,157000,408251,-1,3284293078,http://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=348095&s=58&guid=00000163ec4a0637a62e08db1a427a5e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_12c5f556&cb=1528677665085&jobListingId=2685531897
Data Scientist - Business Analytics,2018-06-05,2018-07-10,Business Services,WeWork,"['15-1111.00', 'Computer and Information Research Scientists']","WeWork is the platform for creators, providing hundreds of thousands of members across the globe space, community, and services that enable them to do what they love and craft their life's work. Our mission is to build a world where people work to make a life, not just a living, and our own team members are central to that goal. We are building software for physical space that uses data and technology at each point in the building process, such that it can make better sourcing decisions, improve its designs, build faster and smarter, and ultimately improve the lives of the people working within its buildings. Our state of the art technologies and dedication to technological innovation are key reasons why WeWork has been able to scale from operating one workspace location to more than 210 in just over eight years. We are seeking a sharp Data Scientist to join the Data & Analytics organization and provide insights and recommendations to help drive strategy and execution for WeWorks Growth team. This role will work closely with the Growth team to unlock WeWorks growth potential by focusing on improving member acquisition and retention. The ideal person for this role is highly analytical, thinks about problems in structured ways, passionate about generating hypotheses for business problems, and excellent at delivering actionable insights. The centralized Data & Analytics organization infuses intelligence within product and business workflows, leading to consistent and accelerated business growth. Responsibilities Assist partners in defining, setting, and measuring critical metrics. Work with partners to structure data-driven approaches to their problems. Apply your expertise in quantitative analysis in order to create insights from data. Propose recommendations on strategies and processes to increase member acquisition and retention. Identify data needs and gaps, and devise solutions in data gathering, ingestion, and modeling. Ad hoc support for key business needs or requests. Requirements 4+ years of experience doing quantitative data analysis. Strong skills in data extraction, munging, analysis and visualization (e.g. SQL, Python, and R). Solid understanding of statistical analysis (e.g., hypothesis testing, predictive models). Strong problem solving skills - ability to break a problem into components and understand how to test each component. Ability to initiate and drive projects to completion with minimal guidance Excellent written and verbal communication skills; ability to create meaningful presentation that tell a story, as well as collaborate with data and software engineers. Strong work ethic, intellectual curiosity and attention to detail. We are an equal opportunity employer and value diversity in our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",3.3,2803081131,97000,144000,119000,661275,865793,3285932175,http://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=357307&s=58&guid=00000163ec4a0637a62e08db1a427a5e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_318a872c&cb=1528677665086&jobListingId=2803081131
Data Scientist,2018-06-04,2018-07-10,Finance,Barclays,"['15-1111.00', 'Computer and Information Research Scientists']"," Job Title: Data Scientist Location: 745 Seventh Ave, New York, New York About Us Barclays is a transatlantic consumer, corporate and investment bank offering products and services across personal, corporate and investment banking, credit cards and wealth management, with a strong presence in our two home markets of the UK and the US. Our goal is to become the bank of choice by providing superior services to customers and clients and supporting our stakeholders via a commercially successful business that generates long-term sustainable returns. About Barclays in the US Barclays offers corporate and investment banking and credit card services in the US. Our 10,000 US colleagues are located in offices across the country, with headquarters in New York City. In 2017, Barclays announced plans to create a world-class campus in Whippany, New Jersey, for our Technology, Operations and Functional teams in the US. Other principal locations include Delaware, Nevada, Ohio and Maine. About Compliance Technology Compliance Technology is a business transformation department within Operations & Technology. We service the Compliance and Financial Crime Functions within Barclays. We are a global team of c400 colleagues situated in the major location hubs: London, New York, Whippany & Pune. Compliance Technology: Transforming the way we deliver innovative business solutions to our clients. Our ambition is to own end to end accountability for the business solutions we provide. We will achieve this by becoming a world class technology team focused on business outcomes. Overall Purpose of role For the Electronic Communications (eComms) Surveillance programme, an experienced Data Scientist in required to help with rolling out the next generation machine learning, natural language processing (NLP), cognitive computing platform. This would be the second Data Scientist hire for the team and this capability will grow over time catering to Surveillance demands. Your Role (Key Accountabilities) ·  Key specific accountabilities. The Data Scientist is responsible for development of NLP models that will predict language of interest in a given data set. The Data Scientist will utilize a vast set of tools, including technical programming skills, advanced statistics, and a deep understanding of the business objectives. ·  Stakeholder management and leadership. In addition, the Data Scientist will be required to work closely with the Tech Lead and Engineers along with Business Analysts and business users. This person should be able to provide other team members with feedback and insight to ensure the business objective is met. ·  Decision making and problem solving. Experience with innovatively solving business problems, determining patterns and insights within structured and unstructured data, coming up with analytics strategies and solutions is required. Basic Qualifications/Skills ·  5  years Expertise in statistical analysis environments such as R, MATLAB, SPSS or SAS, BI tools like Spotfire, relational databases as well as Big Data (Hadoop based) data mining frameworks is required. ·  Desired candidate will have a Ph.D. or Master’s Degree in operations research, applied statistics, data mining, machine learning, physics or a related quantitative discipline. Preferred Qualifications/Skills ·  Strong working knowledge of deep learning, machine learning and statistics. ·  Experience in using Python or R ·  Experience with Apache Hadoop, HBase, Hive, HDFS, and Sqoop. ·  Experience with Java / J2EE, JDK Risk and Control Objective All Barclays colleagues have to ensure that all activities and duties are carried out in full compliance with regulatory requirements, Enterprise Wide Risk Management Framework and internal Barclays Policies and Policy Standards. Your Application To be considered for this role, click on the apply button now. Barclays Values & Diversity Dynamic working gives everyone at Barclays the opportunity to integrate professional and personal lives, if you have a need for flexibility then please discuss this with the hiring manager. We are an equal opportunity employer and we are opposed to discrimination on any grounds. It is the policy of Barclays to ensure equal employment opportunity without discrimination or harassment on the basis of race, colour, creed, religion, national origin, alienage or citizenship status, age, sex, sexual orientation, gender identity or expression, marital or domestic/civil partnership status, disability, veteran status, genetic information, or any other basis protected by law.",3.6,2764008508,99000,147000,123000,3456,119899,3232272286,http://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=135832&s=58&guid=00000163ec4a0637a62e08db1a427a5e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_48aa26a9&cb=1528677665087&jobListingId=2764008508
Data Scientist,2018-06-07,2018-07-10,Media,New York Times,"['15-1111.00', 'Computer and Information Research Scientists']"," Job Description The New York Times is committed to advancing the world’s most reliable and highest quality journalism through technology. Our ability to do so relies on a talented team of expert technologists who help NYT learn from a tremendous abundance of data unique to this company. The Times seeks a Data Scientist to join the Data Science Group applying machine learning methods to meet this challenge, in close collaboration with working partners across the company. Responsibilities: Reframe newsroom and business objectives as machine learning tasks that can deliver actionable insights, accurate predictions, and effective optimization. Implement and execute machine learning research with reliability and reproducibility. Communicate results and impact to newsroom and business stakeholders. Turn models into data products, collaborate with engineering teams, and integrate into process throughout The Times. Qualifications: Technical : PhD, MS, or 3+ years experience in computer science, applied mathematics, or other quantitative/computational discipline. 2+ years experience with open source machine learning or statistical analysis tools. Familiarity with experimental design a plus. 2+ years coding experience, Python preferred. Ability to communicate complex ideas in data science to relevant stakeholders. Data engineering experience, including SQL and manipulating large structured or unstructured datasets for analysis. Preferred: experience with building data products, either internal or consumer-facing. Preferred: Experience working with unstructured data and Natural Language Processing Non-Technical: Commitment to the The Times’ mission of delivering the world’s best and most reliable journalism. Excellent analytical and problem-solving skills Strong oral and written communication skills A passion for empirical research and for answering hard questions with data. Proven record of solving challenging problems in academia and/or industry. Eagerness to collaborate with both technical and non-technical colleagues in editorial, product management, marketing, and executive leadership groups. Ability to gauge the complexity of machine learning problems and a willingness to execute simple approaches for quick effective solutions as appropriate. Desire to join the world’s most important journalism company at a moment in history when the importance of learning from our data is transforming every aspect of the craft and practice of journalism. Please provide GitHub or portfolio site if available. #LI-SO1 If you are an active employee at The New York Times or any affiliates, please do not apply here. Go to the Career Worklet on your Workday home page and View 'Find Internal Jobs'. Thank you! The New York Times Company is an Equal Opportunity Employer and does not discriminate on the basis of an individual's sex, age, race, color, creed, national origin, alienage, religion, marital status, pregnancy, sexual orientation or affectional preference, gender identity and expression, disability, genetic trait or predisposition, carrier status, citizenship, veteran or military status and other personal characteristics protected by law. All applications will receive consideration for employment without regard to legally protected characteristics.",3.7,2731672898,109000,167000,136000,960,119899,3199831849,http://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=242900&s=58&guid=00000163ec4a0637a62e08db1a427a5e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_12f7e214&cb=1528677665089&jobListingId=2731672898
Data Scientist,2018-06-01,2018-07-10,Information Technology,About,"['15-1111.00', 'Computer and Information Research Scientists']","   About Your Role:    Dotdash has been a top 20 site on the internet, since the internet was born. We have data stretching back before the existence of Google. We are looking to add a motivated, fast-learning member to our data science team. As a Data Scientist it will be your responsibility to build data products and perform the critical analyses that power decision-making at all levels of the company.    About Your Contributions :  Query and summarize the massive data sets at our disposal to help drive business strategy Support the development of both internal and user-facing data products Apply statistics, machine learning, and NLP techniques to understand our content and user behavior Predictive analytics – use the wealth of historical data to predict the future of the internet Attend and present at conferences to keep the wider team up to date with innovations in data science and relevant technology   About You:  Bachelors/Masters Degree in relevant field and 2+ years of industry experience as a data scientist, or PhD in a relevant quantitative field with a proven history of shipping quality code (show us something you’ve built!) Solid programming skills in Python Solid experience with SQL (noSQL and/or ElasticSearch is a plus) Solid grasp of statistics Strong analytical and problem solving skills Experience in –or willingness to learn—NLP and machine learning Some experience with Unix/Linux Experience with AWS or other cloud computing environments is a plus Familiarity with basic web front end development (HTML/Javascript/CSS) is a plus Background in Digital Publishing or Media is a plus   About Us:    Dotdash's vibrant brands help over 100 million users each month find answers, solve problems, and get inspired. Dotdash is among the fastest-growing publishers online, and its brands are the fastest-growing in their respective categories. Dotdash brands include Verywell, The Spruce, The Balance, Lifewire,ThoughtCo and TripSavvy. Dotdash embraces inclusivity and values our diverse community. We are committed to building a team based on qualifications, merit and business need. We are proud to be an equal opportunity employer and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.   ",3.5,2761895463,105000,162000,134000,6718,119899,3229064712,http://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4128&s=58&guid=00000163ec4a0637a62e08db1a427a5e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_26648a5f&cb=1528677665090&jobListingId=2761895463
Data Scientist,2018-05-29,2018-07-10,"Arts, Entertainment & Recreation",FanDuel,"['15-1111.00', 'Computer and Information Research Scientists']","FanDuel is the pioneer of online daily fantasy sports, one of the fastest growing sectors of the sports and entertainment industry. Since our launch in 2009, we've been disrupting the fantasy sports industry and changing the way millions of fans experience sports. Sports is our game, but fast-paced technology is at the heart of our business. We make products that sports fans love to use and our teams love to build. Working at FanDuel provides the opportunity to impact the lives of millions of sports fans through the code you write and where you'll work with and learn from multi-award winning highly entrepreneurial and ambitious teams. At FanDuel we champion the customer and work in empowered streams, autonomously tackling complex challenges that provide the very best experience for our users. About the role We are looking for a Data Scientist to tackle our most challenging analytics problems. Who we're looking for 1-3 Years of Industry Experience in data science, analytics or engineering Strong analytical and quantitative skills, with high proficiency in Python or R, and SQL Understanding and application of Bayesian statistics Experience building and using models to help create production level products and tools Comfortable with command line tools and GitHub Object-oriented design and coding skills Strong verbal and written communication skills Ability to work across teams, locations and time zones Interest or experience in sports and fantasy sports What you get in return Beyond working with such a great team? An exciting environment with real growth Contribute to exciting products used by a highly passionate user base Personal learning and development opportunities Unlimited vacation allowance 100% coverage of health insurance premiums Stock Options There's more, but we don't want to go on and on. FanDuel is an equal opportunities employer. Diversity and inclusion in FanDuel means that we respect and value everyone as individuals. We don't tolerate bias, judgement or harassment. Our focus is on developing employees so that they reach their full potential. ",4.1,2756017115,91000,135000,112000,894936,119899,3217891588,http://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=352921&s=58&guid=00000163ec4a0637a62e08db1a427a5e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_1ac75126&cb=1528677665092&jobListingId=2756017115
Data Scientist,2018-06-01,2018-07-10,Information Technology,Farfetch,"['15-1111.00', 'Computer and Information Research Scientists']"," Unlike anything in the world of fashion and technology Position: Data Scientist Location: New York, NY Reporting to: Sr. Data Scientist Benefits: Flexible opt-in benefits including 8 days holiday, birthday off, Farfetch/Browns Fashion site discounts, 401k, company equity, medical/dental/vision insurance, flexible spending accounts + more. Hours of work: As needs and operational demands may necessitate variations in starting and ending times, as well as variations in total hours that may be scheduled each day and week, your hours will be scheduled directly by your manager or supervisor. Website: www.farfetch.com About the department: We're the beating heart of Farfetch, supporting the running of the business and exploring new and exciting technologies across web, mobile and instore to help us transform the industry. Split across three main offices - London , Porto and Lisbon - we are the fastest growing team in the business. We're committed to turning the company into the leading multi-channel platform and are constantly looking for brilliant people who can help us shape tomorrow's customer experience. About the role: As a fast-growing fashion e-commerce business and one of the worlds most valuable startups, harnessing the value of the data generated by our operations is critical to Farfetchs future success and the Data Science teams are at the forefront of this effort. All of our work in Data Science is directed at building software solutions that enhance the marketing activity of the company by using Machine Learning and advanced statistical methods. This means understanding the customer, figuring out who they are, what they want and how to get their attention. Critically, we build systems that do this autonomously. What youll do: You will work with large, complex data sets. Solve hard problems using advanced statistical and Machine Learning techniques. Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations. You will prototype and productionise Machine Learning pipelines to provide a solution to large commercial impact problems, particularly in the Digital Marketing space, that keep Farfetch ahead of the competition. You will collaborate with other Scientists and Engineers to build efficient data products. Identify opportunities for, design, and assess improvements to Farfetch products. You will research and develop analysis, forecasting, and optimization methods to improve the quality of Farfetch's Digital Marketing activity; including paid search, behavioral modeling, and live experiments. You will be part of our first Data Science team in the United States, working closely with our established Data Science teams in London (UK) and Porto (PT). Who you are: You are a MS degree holder in a quantitative discipline (e.g., computer science, economics, mathematics, statistics, physics, electrical engineering, industrial engineering). You are able to describe how most modern Machine Learning algorithms work and their assumptions. Demonstrated skills in selecting the right statistical tools given a data analysis problem. Demonstrated effective written and verbal communication skills. You have applied experience with Machine Learning on large datasets. Experience in Bayesian Inference and Reinforcement Learning is a bonus. You are fluent in Python, Java, C++ or similar object oriented programming language. Experience developing production software is a bonus. You are a passport holder for infrequent trips to Europe. We cant wait to receive your application. But before you send it to us, here are some helpful tips to make sure your application is as strong as it can be. Have you set out why this role is a good match for your career aspirations and that you have the skills and experience required? We want you to be as clear about your future ambitions as we are and whilst we encourage people to learn, develop and grow, you will need to hit the ground running.   Have you checked spelling and grammar? We have high standards and you dont want to miss out because of something as easily correctable as a typo. We are committed to equality of opportunity for all employees. Applications from individuals are encouraged regardless of age, disability, sex, gender reassignment, sexual orientation, pregnancy and maternity, race, religion or belief and marriage and civil partnerships. ",3.8,2798330673,98000,144000,119000,799159,119899,3287465553,http://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=137031&s=58&guid=00000163ec4a0637a62e08db1a427a5e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ddf23100&cb=1528677665094&jobListingId=2798330673
