title,dateposted,validthrough,industry,orgname,cat,descr,stars,jobid,minsal,maxsal,medsal,empid,jobtitleid,jobreqid,url
Data Scientist,2019-01-22,2019-02-22,AllazoHealth (industry not given),AllazoHealth,"['15-1111.00', 'Computer and Information Research Scientists']","Company: AllazoHealth Location: New York City AllazoHealth, one of the fastest growing health-tech startups in NYC, combines behavioral science with data mining and machine learning to help stakeholders across the healthcare spectrum influence patients to adopt healthier behaviors. Our propriety AI platform, AllazoEngine TM provides individualized intervention targeting for medication adherence, disease management, and wellness programs. Position: Data Scientist We are currently seeking an experienced data scientist with a background in machine learning and predictive analytics. Requirements: Strong background (minimum 4-6 years) in SQL Demonstrated success in high growth and early-stage environment Demonstrated GSD 'Get Stuff Done' attitude and results Strong influencer and communicator across all levels of the organization Detail and metric-oriented Proficient in Microsoft Office and technology Responsibilities: Help manage technical planning and activities for all client implementations Identifying areas of opportunities and providing machine learning solutions to enhance AllazoEngine Build client reporting from performance monitoring to ad hoc requests Provide planning and continuous development of the database architecture Benefits: Very competitive compensation package including cash and equity stock options Medical/Dental/Vision Benefits Flat organizational style which empowers everyone in the company to help achieve both company and personal goals Weekly team outings and high focus on continuously building team rapport and culture as we continue on this incredible growth curve Company description: Allazo Health is a high-growth, profitable healthtech start-up founded in 2012 that is leading the development and deployment of revolutionary analytical solutions which is helping patient outcomes and medical costs by influencing patients to adopt healthier behaviors. If you are passionate about healthcare, are driven to save lives while delivering tremendous value to Fortune 100 customers, and want to make a significant impact within a tremendously fast-growing company, then this is the job for you. Our customers include some of the largest pharma companies, PBMs, payors, and providers. Backed by extremely sophisticated investors and a strong management",4.0,,,,,,,,http://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=160631&s=58&guid=000001687c19d5388a886bc8476b07d0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_375777b7&cb=1548270295119&jobListingId=3093249348
Junior Data Scientist,2019-01-15,2019-02-22,Media,Viacom,"['15-1111.00', 'Computer and Information Research Scientists']","The Junior Data Science Engineer, Advanced Media Analytics will be responsible for supporting the build-out of new/alternate audience platforms across Viacom Media Networks. In this role, the individual will contribute to innovation in audience measurement, and help discover how VMN content is being consumed across platforms. Identify, ingest, and enrich a wide range of structured and unstructured data into datasets for analysis Learn to apply statistical and advanced techniques (e.g. segmentation, machine learning) to develop both prototypes and scalable (i.e. efficient, automated) data analyses Conduct basic ad hoc analysis, building models, forecasting viewing behavior Extensive code development, debugging, optimizing, and productionizing Support the development of machine learning pipeline architecture Help build out frameworks for quickly rolling out new data analysis for standalone data-driven products and services to support our network of media brands. Be able to transform unstructured raw data in to formats suitable for modeling Be able to work in teams and collaborate with stakeholders to define requirements Bachelor’s or Master’s degree in a quantitative field Knowledge of Python and/or R Knowledge of algorithms for data mining, machine learning, and/or natural language processing Possess some understanding of statistical procedures used in advanced analytics Experience processing large amounts of structured and unstructured data using Spark, Hive or other Big Data technologies Experience building scalable data models and performing complex relational database queries using SQL (Oracle, MySQL), etc. Attention to detail and demonstrated ability to detect and resolve data/analytics quality issues Outstanding verbal and written communication skills Experienced user of data visualization tools (e.g. Tableau, matplotlib, ggplot2, etc.) ",3.3,3030758057.0,100000.0,158000.0,127000.0,40260.0,406074.0,3700016451.0,http://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=52448&s=58&guid=000001687c19d5388a886bc8476b07d0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_a77b4822&cb=1548270295120&jobListingId=3030758057
"Data Scientist, Analytics",2019-01-18,2019-02-22,Transportation & Logistics,DoorDash,"['15-1111.00', 'Computer and Information Research Scientists']","The Analytics team is looking for Data Scientists to drive measurement, strategy, and tactical decision-making across the company. You'll be solving problems that range from customer acquisition to balancing supply and demand to new city launches to marketplace efficiency. You'll be designing and analyzing A/B tests for new product features, generating and sizing opportunities to prioritize new initiatives, and defining key performance metrics for the team. Data Scientists at DoorDash work cross-functionally to uncover insights and turn them into actionable recommendations. The ideal candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You will be a great fit if you have a strong bias towards action, enjoy finding patterns amidst chaos, and have demonstrated success in using analytics to drive business impact. We're looking for someone who has the technical skills to surface insights quickly, and the interpersonal skills to communicate those insights in a way that persuades action. What you'll do Use quantitative analysis and the presentation of data to see beyond the numbers and understand what drives our business Provide insights to help business and product leaders understand marketplace dynamics, user behaviors, and long-term trends Identify and quantify levers to help move key metrics Recommend which features to build and why Work backwards from understanding and sizing problems to ideating solutions Generate recommendations and use statistical techniques and hypothesis testing to validate your findings. This includes:   Performing analytical deep-dives to identify problems, opportunities and actions required; Collecting, processing, and cleaning data from disparate sources using SQL, R, Python, or other scripting and statistical tools; and Managing the design, execution, and analysis of experiments; driving rigor and testing culture through product and operations teams Report against company initiatives by identifying key metrics and building executive-facing dashboards to track progress Monitor key performance metrics, understanding root causes of changes Build data sets and reporting tables to empower operational and exploratory analysis Partner with engineering to implement, document, validate, and monitor our logging About you 2-5 years of experience in a data analytics, consulting, or other quantitative role Examples of relevant experience include: Funnel optimization, user segmentation, cohort analyses, time series analyses, regression models, etc.   Experience with analyzing both client side and server side tracking a plus   An ability to write very complex SQL queries. ETL experience a plus Proficiency in one or more analytics & visualization tools (e.g. Chartio, Looker, Tableau) A deep understanding of statistical analysis (e.g. hypothesis testing, experimentation, regressions) and familiarity with statistical packages, such as Matlab, R, SAS or Python   Strong business judgment. You've got the ability to take ambiguous problems and solve them in a structured, hypothesis-driven, data-supported way   Self-starter attitude. You're someone who can initiate and drive projects to completion with minimal guidance Get-it-done mindset. You're not afraid of long hours, able to handle stress well, humble and scrappy! A degree in Math, Physics, Statistics, Economics, Computer Science, or other quantitative field About us Founded in 2013, DoorDash is a San Francisco-based technology company passionate about transforming local businesses and dedicated to enabling new ways of working, earning, and living. Today, DoorDash connects customers with their favorite local and national restaurants in more than 1,000 cities across the United States and Canada. By building intelligent, last-mile delivery technology for local cities, DoorDash aims to connect people with the things they care about one dash at a time.",4.1,3090172800.0,82000.0,118000.0,98000.0,813073.0,417547.0,3734022076.0,http://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=399476&s=58&guid=000001687c19d5388a886bc8476b07d0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&aa=1&ea=1&cs=1_683e909f&cb=1548270295121&jobListingId=3090172800
Data Scientist,2019-01-11,2019-02-22,Non-Profit,JUST Capital,"['15-1111.00', 'Computer and Information Research Scientists']","The Organization JUST Capital , an independent, nonprofit research organization, makes it easier for people and companies to do right by their stakeholders by tracking the business behaviors Americans care about most. Our research, rankings, and data-driven tools help Americans make informed decisions about where to invest, work, and buy to direct capital towards companies advancing a more just future. The list of Americas Most JUST Companies, including the groundbreaking JUST 100 and Industry Leaders, is published annually in Forbes and on JUSTCapital Eminent hedge fund manager and philanthropist Paul Tudor Jones co-founded JUST Capital, and it counts Deepak Chopra, Arianna Huffington, Ray Chambers, Steve Schmidt, and many others among its Board. The organization is supported by some of the country's premier philanthropies, including the Ford Foundation and The Robert Wood Johnson Foundation, and has forged partnerships with an array of elite research institutions, including MIT, Stanford, and NORC at the University of Chicago. The Opportunities JUST Capital seeks to fill several  data scientist  opportunities. The key responsibilities include but are not limited to: Create analytical dashboards at an appropriate level of granularity to support our mission Conceptually map cause and effect relationships to statistical models to develop a robust understanding of business drivers Statistically test hypotheses directly in data to further inform an intuition around business drivers The ideal candidates will at a minimum - possess: Passion for JUST Capitals mission and be a role model for what we as an organization are measuring in corporate behavior Demonstrable experience with understanding and gathering corporate data, preferably ESG data Practical, intuitive problem solver with a demonstrated ability to translate quantitative analysis into actionable business strategies with incomplete data sets 3-5 years of experience and proficiency with Python, R, SQL, and business analytics software like Tableau Demonstrable experience and proficiency with NLP (Natural Language Processing) in text mining Expert in predictive modeling and experienced with machine learning to detect, model, validate and leverage Experience interacting with a wide range of stakeholders can adapt communication style to the audience Operate at the highest level of integrity and ethical standards The JUST Capital Work Environment JUST Capital is a small organization staff-wise and operates with a nimble, entrepreneurial early-stage mindset. As such, in addition to the above responsibilities, candidates should have professional work approaches, be self-starters and possess well developed organizational skills honed to allow him/her to be effective and resourceful in a fast-paced workplace. Further, adaptability, good colleagueship, working with cross-functional teams to deliver projects on tight deadlines, and internal community building are important attributes of the JUST Capital culture. To apply: Due to the pace of these searches, candidates are strongly encouraged to apply as soon as possible. Applications should include a thoughtful cover letter describing why you are interested in this opportunity and your qualifications in addition to your resume. Submit your resume and cover letter to: http://www.justcapital.com/careers.  Resumes without a cover letter will not be considered.  Due to volume, only those candidates considered for an interview will be contacted. JUST Capital is an Equal Opportunity Employer; people with disabilities are encouraged to apply ",3.0,3027310722.0,97000.0,157000.0,123000.0,1144744.0,119899.0,3639127871.0,http://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=439133&s=58&guid=000001687c19d5388a886bc8476b07d0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&aa=1&ea=1&cs=1_994aed9c&cb=1548270295122&jobListingId=3027310722
Data Scientist,2019-01-10,2019-02-22,Information Technology,Asana,"['15-1111.00', 'Computer and Information Research Scientists']","The Data team works closely with our product, customer success, and sales teams; we help ask questions the right way… and then find those answers. Our data informs us of the impact we are having on the world, and our team is crucial to architecting and building our data infrastructure. We also design and use data analysis tools that increase our data’s scalability, accuracy, and accessibility. We understand our company’s goals and proactively inform their direction with data so that our product can help more teams do great things. We are looking for the first New York-based Data Scientist, who will collaborate closely with both New York product teams and the rest of the Data team, based in San Francisco. Typical responsibilities: Designing and analyzing experiments to measure the impact of new product features Investigating high-level questions like “What are the collaborative patterns of the most successful teams using Asana?” Adding new metrics and aggregations to our data warehouse to make new classes of questions answerable Building models to predict the growth trajectory of different customer segments Requirements: 3+ years of experience in applying data science techniques to drive technical product development and decision-making Strong technical background in computer science, statistics, math, information science, or another quantitative field Fluency in at least one modern language useful for data processing (e.g. Python, Scala) Proficiency with relational data modeling and SQL Expertise in statistical methods and experimental design and analysis Desirable: Familiarity with distributed data processing systems (e.g. Spark, Redshift) Background in advanced statistical modeling (e.g. GLM, mixed effects) and/or machine learning Experience collaborating with teammates in other locations Does the above sound like it might be you? Then we’d love to hear from you. Our goal is to provide a hiring and working experience in which all people know they are equally respected and valued. So whatever it is that makes you unique—your gender identity or expression, sexual orientation, religion, ethnicity, age, citizenship, educational background, socioeconomic status—we value it, and we’d love to see what you might add to our team.",4.7,2907798529.0,102000.0,146000.0,121000.0,567443.0,119899.0,3413870882.0,http://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=344176&s=58&guid=000001687c19d5388a886bc8476b07d0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&aa=1&ea=1&cs=1_79755784&cb=1548270295123&jobListingId=2907798529
"Data Scientist, Detection",2019-01-22,2019-02-22,Information Technology,White Ops,"['15-1111.00', 'Computer and Information Research Scientists']","At White Ops, we're all hackers. This doesn't mean you have to hold a key to the internet (although one of our founders does!), but it does require approaching problems in unconventional ways. We are attacking criminal botnets through the ad fraud that finances their operations. Our proprietary technology detects and prevents sophisticated online fraud. By reducing the incentives for crime, we are making the internet a better place. Our mighty team of humans have several things in common: We are hackers. We create tau for ourselves and each other. We think big and move fast. We practice humility. We 'pwn it'. What we do: We keep the internet safe by fighting organized cybercrime. Our products accurately detect and prevent even the most sophisticated bots and our customers include some of the web's largest and most forward-thinking companies. Our team of engineers is friendly, curious, driven, and highly collaborative. We support one another and regularly hold code reviews to facilitate learning and reduce friction during our 2-week releases. We strive for clean and readable code. Our engineers also work closely with other teams in the company, including creative, product, and customer support. The Data Intel team is responsible for surfacing useful insights from the terabytes of data we amass every day. We value ethics, experimentation, efficiency, and education. We are looking for someone who will compliment the team to accelerate the development and delivery of data intelligence. What you'll do: Ad hoc investigations Algorithm development Research for case studies and white papers on fraud patterns Creating and maintaining custom dashboards Contribute to analysis toolkits Who you are: Proficiency with SQL and Python or R Clear communication with humans Track record of independent, creative problem solving Each of the following will add to your effectiveness in this role but are not required: Interest in Data Visualization Interest in User Experience Advanced Statistics Data Engineering experience Software Development experience Knowledge of how the internet works Knowledge of how web browsers work Comfort with ad tech terminology We understand it takes a diverse team of highly intelligent, passionate, curious, and creative people to solve the challenges involved in protecting the Internet. Our dynamic team of humans have incredible perspectives to share, just as we know you do, and we take great pride in being an equal opportunity workplace. About White Ops: Our mission is to protect the internet by verifying the humanity of every online transaction. Founded in 2012 in a Brooklyn sci-fi bookstore, we now serve trillions of monthly decisions for some of the web's largest platforms. Our technology protects digital advertisers, publishers, ad tech, and enterprise businesses globally by detecting and blocking bots. It's an ongoing war that we happily fight every day. Life at White Ops: Our HQ office is centrally located in NYC in the heart of the Flatiron District. We had approximately 100% headcount growth in the past year and we are growing the company deliberately, with a keen eye towards maintaining a culture that values diversity, lifestyle, and career growth. We are doing meaningful work and we need people to join our mighty team. We are proud of our overwhelmingly positive presence on Glassdoor and Built in NYC. We have offices located in NYC, DC, Victoria, and London. We have many world class customers who use our platform • We're focused and propelled by a substantive mission • We're building a very sophisticated product that fights a real threat to humanity • We're committed to building a product companies need • We have created an environment that optimizes your skills and brings out your best work •",4.3,,,,,,,,http://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=459636&s=58&guid=000001687c19d5388a886bc8476b07d0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_60277adb&cb=1548270295123&jobListingId=3007254217
Quantitative Researcher,2019-01-11,2019-02-22,Finance,PDT Partners,"['13-1161.00', 'Market Research Analysts and Marketing Specialists']","Experience:  Entry-level (PhD Program) or Experienced (Postdoc, Faculty, Scientific Lab, Finance Industry) Education:  PhD in Math, Science, or Engineering disciplines The PDT team - a quantitative investment manager - is hiring new or recent PhD graduates and experienced researchers (postdoctoral fellows, faculty, scientific lab, finance industry) to create and improve proprietary trading models and strategies while working closely with a deep bench of senior researchers. We have a highly successful record of hiring, challenging, and retaining talented researchers from diverse academic backgrounds. Individuals interested in conducting innovative research with real-world impact seem to enjoy and excel at the types of problems we like to solve. PDT Researchers work in small, nimble teams where merit and contribution, not seniority, drive the discussion. We strive to foster an intellectually challenging environment that encourages collaboration and innovative ideas.   In our research-driven approach to the financial markets, our Chief Scientist oversees the group-wide research agenda, ensuring team members work on the most critical and interesting problems, with a focus on research rigor and standards. Why join us? PDT Partners has a stellar twenty-four-year track record and a reputation for excellence. Our goal is to be the best quantitative investment manager in the worldmeasured by the quality of our products, not their size. PDT's very high employee-retention rate speaks for itself. Our people are intellectually extraordinary and our community is close-knit, down-to-earth, and diverse. Responsibilities: Work closely with senior researchers on a variety of trading strategies and research projects, with the opportunity to conduct independent research and originate research topics over time Contribute to the long-term success of our research-driven algorithmic trading business Requirements: PhD in math, statistics, physics, computer science, electrical engineering, operations research or other highly-quantitative and analytical discipline Solid mathematical and analytical ability; exceptional problem-solving and modeling ability Strong research intuition Strong programming skills (Python, R, Matlab, C++) Excellent communication and collaborative white board skills Meticulous and detail-oriented, and innately driven to understand issues deeply Experience with/interested in working with large data sets Self-motivated and highly-productive, with a strong sense of ownership and urgency Able to work collaboratively and productively with others Enjoy solving complex, difficult, real-world problems Entrepreneurial and creative   Finance knowledge is not required or expected ",4.0,2613571011.0,139000.0,217000.0,177000.0,713598.0,94126.0,3716975764.0,http://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=321564&s=58&guid=000001687c19d5388a886bc8476b07d0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_657bef38&cb=1548270295124&jobListingId=2613571011
Data Scientist,2019-01-23,2019-02-22,Business Services,ERGO Interactive,"['15-1111.00', 'Computer and Information Research Scientists']","DATA SCIENTIST About us ERGO Interactive is a market leader in data-driven, hyper-personalized, adaptive algorithmic email journey design and deployment. It’s a mouthful, but very cool stuff that is driving enormous returns for our blue-chip clients. The best way to explain it would be to envision you’re reading your favorite magazine, and with every page you turn and every issue you read, it becomes more relevant to you. We call it Content Science™, and we’re looking for an exceptional Data Scientist to join our team. Please apply with your resume and a thoughtful cover letter telling us why you're the best fit for the job. Description The Data Scientist is responsible for creating business value out of data through the mining and statistical analysis of large data sets. The Data Scientist will work closely with Data Engineers to create models, query data and generate reports for key stakeholders.  Essential Functions Process, cleanse and verify data for analysis Mine data leveraging state-of-the-art methods Complete ad-hoc analysis and present results in a clear manner Select features, build and optimize classifiers using machine learning techniques Develop actionable quantitative marketing models in the areas of marketing effectiveness, ROI, pricing and optimization Work on large scale projects that utilize online & offline data, structured & unstructured data, media/behavioral/attitudinal data to build customer centric models and optimization tools Drive client engagements focused on data and advanced business analytics in marketing research; communicate results and educate others through reports and presentations Work in a collaborative manner with team members to gather requirements for data analysis Work with stakeholders to identify new data sources and signals to improve customer acquisition and retention Refine existing and bring new algorithms, approaches and tools in this fast paced and constantly changing discipline Qualifications Bachelor’s degree or higher in a quantitative discipline such as Statistics, Mathematics, Engineering, Computer Science, Econometrics or information sciences such as business analytics or informatics Strong statistics skills, such as distributions, statistical testing, regression, etc. Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc. Experience with common data science toolkits and languages, such as Python, R, Weka, NumPy, Pandas, MatLab, etc Expertise with data visualization tools, such as Tableau, D3.js, GGplot, etc. Proficiency in using query languages such as SQL, Hive, Pig, etc. Ability to effectively communicate advanced technical topics to a non-technical audience in both verbal and written forms Demonstrated experience with database technologies (e.g. Oracle, SAP, DB2, Teradata, MS SQL Server, Vertica, Greenplum, SAP HANA, MySQL) Experience with statistical analysis software (SPSS, SAS, RapidMiner) Ability to collaborate with people at all levels and disciplines Must thrive in a fast paced environment and be able to work independently as well as collaboratively Perks A comprehensive career development program and training Gym membership Bagel Fridays Summer Fridays Office bar cart, produce, healthy and unhealthy snacks, Nespresso Pool table Competitive vacation allowance Company-paid office shut-down between Christmas and New Year’s Day Health, vision & dental benefits 401k plan Referral bonus program Pet-friendly office Fun company outings and events Very cool industrial-style Greenwich Village studio space The best perk? Our people. If you’re ready to join us, apply now! ",3.0,2972562072.0,94000.0,141000.0,116000.0,1034745.0,119899.0,3713148845.0,http://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=320884&s=58&guid=000001687c19d5388a886bc8476b07d0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_37b8259b&cb=1548270295125&jobListingId=2972562072
Junior Data Scientist,2019-01-12,2019-02-22,Business Services,"Gartner, Inc.","['15-1111.00', 'Computer and Information Research Scientists']","What makes Gartner Research & Advisory a GREAT fit for you? When you join Gartner, youll be part of a leading-edge team that values expert insights, bold ideas and intellectual courage. Youll deliver must-have research through compelling client interactions, and contribute to our double-digit growth by providing clients the unbiased insight and advice they need to make the right decisions every day. Through constant learning, discovery and collaboration, youll help clients deliver on their mission-critical priorities, grow your career and increase your industry impact. We value hard workers and reward you with unlimited opportunity. If youre looking to explore whats next in technology and business, Gartner is looking for you. Responsibilities Include: Analysis: Ad hoc scripts to extract meaning from the underlying data and answer relevant business questions Data Transformation: Convert raw data into usable metrics. Can include cleaning, interpolation, rollups, stats, and mashups of multiple data sources Visual Storytelling: Surface insights via innovative data visualization leveraging internal tools like Tableau, Periscope and open source technologies such as interactive D3.js Prototyping: Integrating standard reporting processes into basic UI made using web app frameworks such as Flask. Automation: Deploy standardized processes to AWS to execute on a regular schedule Required qualifications & skills: Bachelors Degree in fields such as Statistics, Data Science, Economics, Social Sciences etc. Strong Python (specially Pandas) and SQL skills Good communication skills - ability to communicate findings from analysis in a logically structured manner Comfort with Python GUI libraries and frameworks like Flask Ability to transfer code into reusable Git Repositories along with documentation for internal team use Strong Plus: Experience as a developer / back end engineer OR as a front end engineer Expertise with interactive data visualization and ability to build prototypes using Javascript + d3, django, flask and other front-end frameworks Expertise with sklearn, NLTK, keras and other ML libraries in Python We emphasize the following traits amongst our team members: Scrappiness: Adaptable with grit and perseverance, comfort with ad-hoc projects and deviations from plans Analytical: ability to formulate the right business questions and examine data to answer specific questions Strong Communicator: be able to render and speak to data analysis in a format well understood by internal audiences Entrepreneurial: propose and run experiments which enhance the quality of insights in our research Quick self-learner: mindset of diving into new processes to learn them well Job Requisition ID:29693 By submitting your information and application, you confirm that you have read and agree to the country or regional recruitment notice linked below applicable to your place of residence. Gartner Applicant Privacy Link: ************************************************* For efficient navigation through the application, please only use the back button within the application, not the back arrow within your browser.",3.9,3085620189.0,91000.0,143000.0,115000.0,2465.0,406074.0,3726978303.0,http://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=182759&s=58&guid=000001687c19d5388a886bc8476b07d0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_3996792a&cb=1548270295126&jobListingId=3085620189
Quantitative Research Associate,2019-01-17,2019-02-22,Finance,Lord Abbett,"['13-1161.00', 'Market Research Analysts and Marketing Specialists']","We're looking to hire a Quantitative Research Associate to join our Equities franchise, reporting to the director of Equities Quantitative Research. The group is responsible for applied quantitative analytics deployed across the full variety of equity strategies at the firm, building and enhancing the toolkit in collaboration with Portfolio Managers and Fundamental Analysts. The quantitative associate would work in collaboration with other team members to build models, organize data, deliver and update analytics for portfolio management Work with quantitative analysts, fundamental analysts, and portfolio managers to identify needs and execute solutions Maintain and enhance existing models while contributing to the code base and the technology platform supporting the team Participate in the development, maintenance, and analysis of market and proprietary data feeds and databases A degree in a highly quantitative STEM discipline Demonstrated evidence of depth of capability through projects, work experience, or graduate work such as a Ph.D or Master's degree Knowledge of financial markets/products and of the investment industry Experience with databases, structured and unstructured investment-relevant data sets, and platforms such as Factset, Bloomberg or Capital IQ is preferred Fluency in Python and contact with other relevant programming languages and key libraries (Python, C/C++, SAS, R, SQL, NAG, numpy/pandas, etc.) Strong English communication skills, both spoken and written ",2.7,3066278022.0,110000.0,172000.0,139000.0,151331.0,32458.0,3682234045.0,http://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=363017&s=58&guid=000001687c19d5388a886bc8476b07d0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_230f998e&cb=1548270295127&jobListingId=3066278022
